time,tag_id,qualityName_id,value,name
2017-01-20 09:52:22.960,303,2,0.5409115,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 09:52:43.240,303,1,1.30868,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 09:59:49.173,303,2,0.344551,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 10:00:09.453,303,1,0.9554591,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 10:12:39.850,303,2,0.2104443,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 15:26:19.640,303,2,0.5382427,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 15:26:39.917,303,1,0.5361586,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 15:35:27.170,303,2,0.3239165,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 15:35:47.450,303,1,1.870799,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:10:56.477,303,2,0.1988826,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:11:57.317,303,1,0.9276339,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:14:59.827,303,2,0.3204503,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:15:20.107,303,1,1.021498,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:17:21.780,303,2,0.2618033,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:18:02.337,303,1,1.224979,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:23:06.537,303,2,0.3546692,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 16:24:07.380,303,1,0.7473766,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 10:13:00.130,303,1,0.5681883,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:01:49.917,303,2,0.3880822,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:02:10.197,303,1,1.037106,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:03:51.590,303,2,0.4428726,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:04:11.870,303,1,0.6630343,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:04:32.147,303,2,0.236002,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:05:32.987,303,1,0.970746,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:05:53.267,303,2,0.4318649,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 12:06:13.543,303,1,0.6558435,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:35:48.230,303,2,0.373668,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:36:08.513,303,1,0.8498922,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:38:30.477,303,2,0.2055702,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 13:38:50.760,303,1,0.5548997,RowA.Cell03.VisioFroth.Cell03.Velocity
2017-01-20 15:07:24.003,303,2,0.3333507,RowA.Cell03.VisioFroth.Cell03.Velocity
