MF Pb,MF Zn,MF Fe,PbFC Pb,PbFC ZN,PbFC Fe,ZRF Pb,ZRF Zn,ZRF Fe,ZRT A Pb,ZRT A Zn,ZRT A Fe,ZRT B Pb,ZRT B Zn,ZRT B Fe,ZRT Comb Pb,ZRT Comb Zn,ZRT Comb Fe,Z1RC Pb,Z1RC Zn,Z1RC Fe,Z2RC Pb,Z2RC Zn,Z2RC Fe,ZRCC Pb,ZRCC Zn,ZRCC Fe,value,qualityName_id
5.3764743805,13.348228455,3.1010487889,55.165943146,11.460285187,6.2787051201,3.0963323116,17.858494034,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.536518097,13.973781586,2.8032693863,26.109272003,8.2968492508,0.4262224,2
5.3764743805,13.348228455,3.1010487889,55.165943146,11.460285187,6.2787051201,3.0963323116,17.858494034,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.536518097,13.973781586,2.8032693863,26.109272003,8.2968492508,0.7419737,1
5.3764743805,13.348228455,5.4695520401,55.165943146,11.460285187,6.2787051201,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.536518097,13.973781586,2.8032693863,26.109272003,8.2968492508,0.04704536,2
5.3764743805,13.348228455,5.4695520401,55.165943146,11.460285187,6.2787051201,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,1.970175,1
5.3764743805,13.348228455,5.4695520401,55.165943146,11.460285187,6.2787051201,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.4639991,2
5.3764743805,13.348228455,5.4695520401,55.165943146,11.460285187,6.2787051201,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.979721069,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.7328765,1
5.3764743805,13.348228455,5.4695520401,55.165943146,11.460285187,6.2787051201,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.952664647,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.1850681,2
5.3764743805,13.348228455,5.4695520401,54.869327418,11.614721924,6.3517777167,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798366547,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.8711402,1
5.3764743805,13.348228455,5.4695520401,54.624828339,11.742023468,6.4120111465,3.0963323116,17.80109787,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798366547,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.2709934,2
5.3764743805,13.348228455,5.4695520401,54.624828339,11.742023468,6.4120111465,3.0963323116,17.942201614,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798366547,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.5631378,1
5.3764743805,13.348228455,5.4695520401,54.624828339,11.742023468,6.4120111465,3.0963323116,17.942201614,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798366547,5.6342253685,4.0510892868,23.697551727,13.872103691,2.8032693863,26.109272003,8.2968492508,0.16820020000000002,2
5.3764743805,13.348228455,5.4695520401,54.001819611,10.790807724,3.2199239731,3.0963323116,17.942201614,8.1788711548,1.9203318357,0.9989464879,3.1686306,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,99.900001526,3.2828223705,38.798366547,5.6342253685,4.1864132881,23.697551727,13.992801666,2.8032693863,26.109272003,8.1698522568,2.467841,1
